Rank,Strategy,Strategy Type,Signal Version,Window,Lag,Top K,Percentile,Signal Lookback,Rebalance Interval,Self Move Penalty,Time Decay,Forecast Threshold,Normalise Incoming Weights,Discretisation Method,Bias Corrected,Gross Notional,Max Notional Per Ticker,Minimum Days,Total PnL,Gross PnL,Commissions,Total Shares Traded,Average Daily Shares Traded,Maximum Daily Turnover,Mean Daily PnL,PnL Std,Annualised Sharpe,Score,Maximum Drawdown,Scoring Start Day,Scoring Days,Commission Share of Gross Movement,Net vs Gross Difference
1,LeaderFollower_Vraw_W85_L2_K7_P97_S2_R3_M0.125_D0.60_T0.25,LeaderFollowerStrategy,raw,85,2,7,97.0,2,3,0.125,0.6,0.25,True,volatility,True,100000.0,10000.0,170,13050.972705200009,14233.150000000009,1182.1772947999998,1009952.0,1350.2032085561498,8933.0,52.413545000803246,418.995621595919,1.9778987405042194,41.74321625488634,3457.3114890000033,500,249,0.083058022630268,-1182.1772947999998
2,LeaderFollower_Vtanh_W85_L2_K7_P97_S2_R3_M0.125_D0.60_T0.25,LeaderFollowerStrategy,tanh,85,2,7,97.0,2,3,0.125,0.6,0.25,True,volatility,True,100000.0,10000.0,170,10838.27378600001,12002.330000000009,1164.0562140000002,990092.0,1323.6524064171124,8703.0,43.5272039598394,384.2513563249836,1.7910815723364464,33.18322078698248,2914.129410800002,500,249,0.09698585308019354,-1164.0562139999984
3,LeaderFollower_Vweighted_W85_L2_K7_P97_S2_R3_M0.125_D0.60_T0.25,LeaderFollowerStrategy,weighted,85,2,7,97.0,2,3,0.125,0.6,0.25,True,volatility,True,100000.0,10000.0,170,10497.018411600007,11667.380000000008,1170.3615884,1003813.0,1341.9959893048128,9196.0,42.1567004481928,413.333033512415,1.612636557510062,30.448446413788208,3111.924570399995,500,249,0.10031057430202832,-1170.361588400001
4,LeaderFollower_Vlatest_raw_W85_L2_K7_P97_S2_R3_M0.125_D0.60_T0.25,LeaderFollowerStrategy,latest_raw,85,2,7,97.0,2,3,0.125,0.6,0.25,True,volatility,True,100000.0,10000.0,170,4375.146661000002,5524.730000000001,1149.583339,991873.0,1326.033422459893,9067.0,17.570870124497997,399.3720236235898,0.6956417422567052,5.730002346412285,6278.019741999986,500,249,0.20807955121788752,-1149.5833389999998
